Player Name,Franchise,Bowling Style,Batting Style,Base Price ,Rating,Image URL
Matt Henry,Chennai Super Kings,Right-arm Fast Medium,RHB,,,
Khaleel Ahmed,Chennai Super Kings,Left-arm Fast Medium,RHB,,,
Mukesh Choudhary,Chennai Super Kings,Left-arm Fast Medium,LHB,,,
Noor Ahmad,Chennai Super Kings,Left-arm Unorthodox Spin,RHB,,,
Akeal Hosein,Chennai Super Kings,Left-arm Slow Orthodox,LHB,,,
Rahul Chahar,Chennai Super Kings,Right-arm Leg Spin,RHB,,,
Mitchell Starc,Delhi Capitals,Left-arm Fast,LHB,,,
Kuldeep Yadav,Delhi Capitals,Left-arm Unorthodox Spin,LHB,,,
Mukesh Kumar,Delhi Capitals,Right-arm Fast Medium,RHB,,,
T Natarajan,Delhi Capitals,Left-arm Fast Medium,LHB,,,
Dushmantha Chameera,Delhi Capitals,Right-arm Fast,RHB,,,
Lungi Ngidi,Delhi Capitals,Right-arm Fast,RHB,,,
Kyle Jamieson,Delhi Capitals,Right-arm Fast Medium,RHB,,,
Kagiso Rabada,Gujarat Titans,Right-arm Fast,LHB,,,
Mohammed Siraj,Gujarat Titans,Right-arm Fast,RHB,,,
Prasidh Krishna,Gujarat Titans,Right-arm Fast,RHB,,,
Ishant Sharma,Gujarat Titans,Right-arm Fast Medium,RHB,,,
Rashid Khan,Gujarat Titans,Right-arm Leg Spin,RHB,,,
Manav Suthar,Gujarat Titans,Left-arm Slow Orthodox,LHB,,,
Sai Kishore,Gujarat Titans,Left-arm Slow Orthodox,LHB,,,
Ashok Sharma,Gujarat Titans,Right-arm Fast,RHB,,,
Prithvi Raj,Gujarat Titans,Left-arm Fast Medium,RHB,,,
Luke Wood,Gujarat Titans,Left-arm Fast,LHB,,,
Varun Chakaravarthy,Kolkata Knight Riders,Right-arm Leg Spin,RHB,,,
Harshit Rana,Kolkata Knight Riders,Right-arm Fast Medium,RHB,,,
Vaibhav Arora,Kolkata Knight Riders,Right-arm Fast Medium,RHB,,,
Umran Malik,Kolkata Knight Riders,Right-arm Fast,RHB,,,
Matheesha Pathirana,Kolkata Knight Riders,Right-arm Fast,RHB,,,
Prashant Solanki,Kolkata Knight Riders,Right-arm Leg Spin,RHB,,,
Mohammed Shami,Lucknow Super Giants,Right-arm Fast,RHB,,,
Mayank Yadav,Lucknow Super Giants,Right-arm Fast,RHB,,,
Mohsin Khan,Lucknow Super Giants,Left-arm Fast Medium,LHB,,,
Avesh Khan,Lucknow Super Giants,Right-arm Fast Medium,RHB,,,
M Siddharth,Lucknow Super Giants,Left-arm Slow Orthodox,RHB,,,
Jasprit Bumrah,Mumbai Indians,Right-arm Fast,RHB,,,
Trent Boult,Mumbai Indians,Left-arm Fast Medium,RHB,,,
Deepak Chahar,Mumbai Indians,Right-arm Fast Medium,RHB,,,
Mayank Markande,Mumbai Indians,Right-arm Leg Spin,RHB,,,
Allah Ghazanfar,Mumbai Indians,Right-arm Off Spin,RHB,,,
Vignesh Puthur,Mumbai Indians,Left-arm Unorthodox Spin,RHB,,,
Arshdeep Singh,Punjab Kings,Left-arm Fast Medium,LHB,,,
Yuzvendra Chahal,Punjab Kings,Right-arm Leg Spin,RHB,,,
Lockie Ferguson,Punjab Kings,Right-arm Fast,RHB,,,
Xavier Bartlett,Punjab Kings,Right-arm Fast Medium,RHB,,,
Yash Thakur,Punjab Kings,Right-arm Fast Medium,RHB,,,
Vyshak Vijaykumar,Punjab Kings,Right-arm Medium,RHB,,,
Pravin Dubey,Punjab Kings,Right-arm Leg Spin,RHB,,,
Vishal Nishad,Punjab Kings,Right-arm Leg Spin,RHB,,,
Ben Dwarshuis,Punjab Kings,Left-arm Fast Medium,LHB,,,
Jofra Archer,Rajasthan Royals,Right-arm Fast,RHB,,,
Sandeep Sharma,Rajasthan Royals,Right-arm Medium,RHB,,,
Ravi Bishnoi,Rajasthan Royals,Right-arm Leg Spin,RHB,,,
Nandre Burger,Rajasthan Royals,Left-arm Fast,LHB,,,
Kwena Maphaka,Rajasthan Royals,Left-arm Fast,LHB,,,
Tushar Deshpande,Rajasthan Royals,Right-arm Fast Medium,LHB,,,
Adam Milne,Rajasthan Royals,Right-arm Fast,RHB,,,
Kuldeep Sen,Rajasthan Royals,Right-arm Fast,RHB,,,
Sushant Mishra,Rajasthan Royals,Left-arm Fast,LHB,,,
Yash Raj Punja,Rajasthan Royals,Right-arm Leg Spin,RHB,,,
Josh Hazlewood,Royal Challengers Bengaluru,Right-arm Fast Medium,LHB,,,
Bhuvneshwar Kumar,Royal Challengers Bengaluru,Right-arm Medium Fast,RHB,,,
Yash Dayal,Royal Challengers Bengaluru,Left-arm Fast Medium,RHB,,,
Nuwan Thushara,Royal Challengers Bengaluru,Right-arm Fast Medium,RHB,,,
Rasikh Salam,Royal Challengers Bengaluru,Right-arm Fast Medium,RHB,,,
Suyash Sharma,Royal Challengers Bengaluru,Right-arm Leg Spin,RHB,,,
Jacob Duffy,Royal Challengers Bengaluru,Right-arm Fast Medium,RHB,,,
Pat Cummins,Sunrisers Hyderabad,Right-arm Fast,RHB,,,
Harshal Patel,Sunrisers Hyderabad,Right-arm Fast Medium,RHB,,,
Jaydev Unadkat,Sunrisers Hyderabad,Left-arm Fast Medium,RHB,,,
Shivam Mavi,Sunrisers Hyderabad,Right-arm Fast Medium,RHB,,,
