Player Name,Franchise,Batting Style,Bowling Style,Base Price ,Rating,Image URL
Shivam Dube,Chennai Super Kings,LHB,Right-arm Medium,,,
Jamie Overton,Chennai Super Kings,RHB,Right-arm Fast,,,
Ramakrishna Ghosh,Chennai Super Kings,RHB,Right-arm Medium,,,
Prashant Veer,Chennai Super Kings,LHB,Left-arm Slow Orthodox,,,
Aman Khan,Chennai Super Kings,RHB,Right-arm Medium,,,
Zak Foulkes,Chennai Super Kings,RHB,Right-arm Fast Medium,,,
Shreyas Gopal,Chennai Super Kings,RHB,Right-arm Leg Spin,,,
Anshul Kamboj,Chennai Super Kings,RHB,Right-arm Medium,,,
Gurjapneet Singh,Chennai Super Kings,RHB,Left-arm Medium,,,
Matthew Short,Chennai Super Kings,RHB,Right-arm Off Spin,,,
Axar Patel,Delhi Capitals,LHB,Left-arm Slow Orthodox,,,
Madhav Tiwari,Delhi Capitals,RHB,Right-arm Medium Fast,,,
Tripurana Vijay,Delhi Capitals,RHB,Right-arm Off break,,,
Vipraj Nigam,Delhi Capitals,RHB,Right-arm Leg Spin,,,
Ajay Mandal,Delhi Capitals,LHB,Left-arm Slow Orthodox,,,
Auqib Dar,Delhi Capitals,RHB,Right-arm Fast Medium,,,
Nitish Rana,Delhi Capitals,LHB,Right-arm Off Spin,,,
Rahul Tewatia,Gujarat Titans,LHB,Right-arm Leg Spin,,,
Washington Sundar,Gujarat Titans,LHB,Right-arm Off Spin,,,
Jason Holder,Gujarat Titans,RHB,Right-arm Fast Medium,,,
Jayant Yadav,Gujarat Titans,RHB,Right-arm Off Spin,,,
Nishant Sindhu,Gujarat Titans,LHB,Left-arm Slow Orthodox,,,
Arshad Khan,Gujarat Titans,LHB,Left-arm Medium,,,
Gurnoor Singh Brar,Gujarat Titans,LHB,Right-arm Fast Medium,,,
Sunil Narine,Kolkata Knight Riders,LHB,Right-arm Off Spin,,,
Cameron Green,Kolkata Knight Riders,RHB,Right-arm Fast,,,
Ramandeep Singh,Kolkata Knight Riders,RHB,Right-arm Medium,,,
Anukul Roy,Kolkata Knight Riders,LHB,Left-arm Slow Orthodox,,,
Daksh Kamra,Kolkata Knight Riders,RHB,Right-arm Off break,,,
Mitchell Marsh,Lucknow Super Giants,RHB,Right-arm Fast Medium,,,
Wanindu Hasaranga,Lucknow Super Giants,RHB,Right-arm Leg Spin,,,
Shahbaz Ahamad,Lucknow Super Giants,LHB,Left-arm Slow Orthodox,,,
Arshin Kulkarni,Lucknow Super Giants,RHB,Right-arm Medium Fast,,,
Ayush Badoni,Lucknow Super Giants,RHB,Right-arm Off Spin,,,
Digvesh Rathi,Lucknow Super Giants,RHB,Right-arm Off Spin,,,
Hardik Pandya,Mumbai Indians,RHB,Right-arm Fast Medium,,,
Mitchell Santner,Mumbai Indians,LHB,Left-arm Slow Orthodox,,,
Corbin Bosch,Mumbai Indians,RHB,Right-arm Fast Medium,,,
Shardul Thakur,Mumbai Indians,RHB,Right-arm Fast Medium,,,
Will Jacks,Mumbai Indians,RHB,Right-arm Off Spin,,,
Naman Dhir,Mumbai Indians,RHB,Right-arm Off Spin,,,
Raj Bawa,Mumbai Indians,LHB,Right-arm Fast Medium,,,
Atharva Ankolekar,Mumbai Indians,LHB,Left-arm Slow Orthodox,,,
Mayank Rawat,Mumbai Indians,RHB,Right-arm Off Spin,,,
Marcus Stoinis,Punjab Kings,RHB,Right-arm Medium,,,
Marco Jansen,Punjab Kings,RHB,Left-arm Fast Medium,,,
Cooper Connolly,Punjab Kings,LHB,Left-arm Slow Orthodox,,,
Mitchell Owen,Punjab Kings,RHB,Right-arm Fast Medium,,,
Musheer Khan,Punjab Kings,RHB,Left-arm Slow Orthodox,,,
