Player Name,Franchise,Batting Style,Base Price ,Rating,Image URL
Sanju Samson,Chennai Super Kings,RHB,,,
MS Dhoni,Chennai Super Kings,RHB,,,
Urvil Patel,Chennai Super Kings,RHB,,,
KL Rahul,Delhi Capitals,RHB,,,
Tristan Stubbs,Delhi Capitals,RHB,,,
Abishek Porel,Delhi Capitals,LHB,,,
Ben Duckett,Delhi Capitals,LHB,,,
Jos Buttler,Gujarat Titans,RHB,,,
Kumar Kushagra,Gujarat Titans,RHB,,,
Anuj Rawat,Gujarat Titans,LHB,,,
Tom Banton,Gujarat Titans,RHB,,,
Finn Allen,Kolkata Knight Riders,RHB,,,
Tejasvi Singh,Kolkata Knight Riders,RHB,,,
Rishabh Pant,Lucknow Super Giants,LHB,,,
Nicholas Pooran,Lucknow Super Giants,LHB,,,
Josh Inglis,Lucknow Super Giants,RHB,,,
Mukul Choudhary,Lucknow Super Giants,RHB,,,
Quinton de Kock,Mumbai Indians,LHB,,,
Ryan Rickelton,Mumbai Indians,LHB,,,
Robin Minz,Mumbai Indians,LHB,,,
Mohammad Izhar,Mumbai Indians,RHB,,,
Prabhsimran Singh,Punjab Kings,RHB,,,
Vishnu Vinod,Punjab Kings,RHB,,,
Lhuan-dre Pretorius,Rajasthan Royals,LHB,,,
Dhruv Jurel,Rajasthan Royals,RHB,,,
Ravi Singh,Rajasthan Royals,RHB,,,
Jitesh Sharma,Royal Challengers Bengaluru,RHB,,,
Phil Salt,Royal Challengers Bengaluru,RHB,,,
Jordan Cox,Royal Challengers Bengaluru,RHB,,,
Heinrich Klaasen,Sunrisers Hyderabad,RHB,,,
Ishan Kishan,Sunrisers Hyderabad,LHB,,,
Salil Arora,Sunrisers Hyderabad,RHB,,,
